customer_id,first_name,last_name,gender,age,phone,email,avg_income,customer_type,segment_id,employee_id
1,Jonathan,Perkins,Male,56,+1-229-823-3451x1009,jonathan.perkins@example.com,25109.15,Prospect,38,350.0
2,Mary,Williams,Other,49,408.386.8430,mary.williams@example.com,180997.82,Renter,24,198.0
3,Christopher,Long,Male,50,929.704.5759,christopher.long@example.com,103524.21,Investor,23,10.0
4,Meredith,Valencia,Other,27,529-596-4260,meredith.valencia@example.com,166159.21,Renter,27,41.0
5,Robert,Brock,Female,41,(602)975-5821,robert.brock@example.com,67409.67,Renter,23,157.0
6,Tonya,Wu,Female,42,001-492-507-1152x380,tonya.wu@example.com,179627.03,Buyer,34,245.0
7,Ryan,Bernard,Female,64,992-215-8189,ryan.bernard@example.com,80894.33,Investor,29,367.0
8,Gina,Cunningham,Other,22,(911)986-3855x88195,gina.cunningham@example.com,7113.34,Buyer,5,151.0
9,Gary,Vazquez,Male,61,(888)400-5378x9318,gary.vazquez@example.com,181549.49,Renter,2,173.0
10,William,Perkins,Other,35,(484)954-0182,william.perkins@example.com,22800.9,Renter,60,377.0
11,Francisco,Brown,Other,41,+1-239-648-2322,francisco.brown@example.com,67266.16,Prospect,36,79.0
12,Christopher,Ramirez,Female,71,432-281-1659x930,christopher.ramirez@example.com,190262.08,Renter,30,116.0
13,David,Walters,Female,62,4423322775,david.walters@example.com,190368.39,Prospect,12,325.0
14,John,Robbins,Male,59,8285165064,john.robbins@example.com,116820.39,Prospect,2,375.0
15,Aaron,Joyce,Male,44,3595377756,aaron.joyce@example.com,128208.26,Renter,38,217.0
16,David,Jones,Other,68,2294161746,david.jones@example.com,92446.88,Buyer,14,140.0
17,Brandi,Sosa,Other,71,810.843.8419,brandi.sosa@example.com,62176.1,Renter,37,50.0
18,Francis,Bradley,Female,32,716.870.8056,francis.bradley@example.com,69089.59,Buyer,24,164.0
19,Mckenzie,Solomon,Female,75,206.636.2198x655,mckenzie.solomon@example.com,136141.1,Investor,17,341.0
20,Bianca,Maxwell,Female,59,840-776-6349x339,bianca.maxwell@example.com,151713.03,Buyer,39,196.0
21,Alan,Holland,Female,74,(627)532-2626x1142,alan.holland@example.com,159357.91,Renter,23,178.0
22,Kristi,Wade,Female,65,001-358-854-2188x0879,kristi.wade@example.com,158975.54,Buyer,53,342.0
