payment_method_number,method_name,details
1,Bank Transfer,acct-JlTC-####
2,Cash,acct-hPEl-####
3,Cash,acct-eDRn-####
4,Online,acct-mCYT-####
5,Credit Card,acct-UnKP-####
6,Credit Card,acct-Llbu-####
7,Online,acct-lljK-####
8,Cheque,acct-KNnV-####
9,Cheque,acct-AkgU-####
10,Online,acct-BZuQ-####
11,Cash,acct-LeOt-####
12,Bank Transfer,acct-pJJj-####
13,Cheque,acct-pkuP-####
14,Bank Transfer,acct-xSpY-####
15,Credit Card,acct-KInu-####
16,Credit Card,acct-JtrA-####
17,Cheque,acct-hFUP-####
18,Cash,acct-DVVF-####
19,Credit Card,acct-okZz-####
20,Bank Transfer,acct-spbK-####
21,Cash,acct-vqqK-####
22,Cheque,acct-ZXFN-####
23,Credit Card,acct-TUhl-####
24,Cheque,acct-CMLC-####
25,Cash,acct-alKl-####
26,Cash,acct-Cekd-####
27,Cash,acct-vpQM-####
28,Online,acct-DWHF-####
29,Online,acct-UhnF-####
30,Bank Transfer,acct-TuiL-####
31,Cash,acct-JHpi-####
32,Cash,acct-jbZR-####
33,Credit Card,acct-WgiY-####
34,Bank Transfer,acct-xzUY-####
35,Bank Transfer,acct-UdJm-####
36,Cheque,acct-lccq-####
37,Cash,acct-WJFM-####
38,Credit Card,acct-ZRDH-####
39,Cheque,acct-GGKC-####
40,Online,acct-wRnS-####
41,Cash,acct-VUTx-####
42,Bank Transfer,acct-QGwl-####
43,Cash,acct-pOIz-####
44,Cash,acct-dZWY-####
45,Online,acct-Xcmb-####
46,Credit Card,acct-rtpy-####
47,Credit Card,acct-PfKY-####
48,Credit Card,acct-KuhD-####
49,Cheque,acct-ewkn-####
50,Credit Card,acct-UKfb-####
51,Cheque,acct-XjPK-####
52,Online,acct-kXUL-####
53,Cash,acct-VwQb-####
54,Cheque,acct-ftmE-####
55,Online,acct-rPVG-####
56,Cheque,acct-mdNm-####
57,Online,acct-aKAE-####
58,Credit Card,acct-fnRL-####
59,Credit Card,acct-FfMh-####
60,Online,acct-jzdO-####
