employee_id,employee_name,role,phone,email,project_id
1,Chase Anthony,Manager,972.220.0543x6459,chase.anthony@example.com,79.0
2,Anthony Medina,Agent,(707)881-1379,anthony.medina@example.com,19.0
3,Michael Nguyen,Manager,001-215-831-3636x31797,michael.nguyen@example.com,112.0
4,Timothy Gibson,Project Manager,(652)473-5435x2090,timothy.gibson@example.com,115.0
5,John Barnes,Support,001-953-549-2929x83168,john.barnes@example.com,153.0
6,Sara Ramirez,Agent,001-263-235-6939x2906,sara.ramirez@example.com,94.0
7,Morgan Gordon MD,Account,(671)577-3180x6325,morgan.gordon.md@example.com,4.0
8,Ann Castillo,Manager,227-399-0772x6257,ann.castillo@example.com,80.0
9,Michael Schmidt,Manager,264-398-9319x5085,michael.schmidt@example.com,121.0
10,John Williams,Agent,(528)518-3253x817,john.williams@example.com,87.0
11,Steven Gordon,Agent,(640)915-5778x81788,steven.gordon@example.com,84.0
12,Rebecca Dougherty,Support,337-411-6241,rebecca.dougherty@example.com,149.0
13,Michael Crawford,Project Manager,880.946.8275,michael.crawford@example.com,67.0
14,Alison Lopez,Project Manager,9389569557,alison.lopez@example.com,
15,Carlos Clarke,Sales,(643)975-4025,carlos.clarke@example.com,45.0
16,Lisa Martin,Support,+1-742-422-2310,lisa.martin@example.com,58.0
17,Jacob Harris,Account,001-205-852-5782x841,jacob.harris@example.com,101.0
18,Patricia Gould,Manager,320-988-5474x92975,patricia.gould@example.com,139.0
19,Brenda Pierce,Account,506-693-7515x0939,brenda.pierce@example.com,173.0
20,Bradley Atkinson,Support,+1-818-763-7599x80562,bradley.atkinson@example.com,162.0
21,Adam Cooper,Account,378-413-7674x2662,adam.cooper@example.com,122.0
22,John Dillon,Sales,519-461-0646x28792,john.dillon@example.com,1.0
23,Donna Henry,Manager,394-678-7300x2447,donna.henry@example.com,72.0
24,John Watts,Support,901.847.1959,john.watts@example.com,100.0
25,Lori Alvarez,Agent,001-915-489-0429x025,lori.alvarez@example.com,59.0
26,Anthony Ward,Project Manager,+1-750-744-8183x2192,anthony.ward@example.com,166.0
27,Melinda Turner,Account,+1-751-489-5202x84576,melinda.turner@example.com,91.0
28,Christopher Walker,Project Manager,389.388.8167,christopher.walker@example.com,138.0
29,Tammy Mendoza,Account,452-579-8524x0132,tammy.mendoza@example.com,85.0
30,Daniel Zavala,Agent,(311)607-6031x08907,daniel.zavala@example.com,137.0
31,Eric Smith,Support,319-439-3250,eric.smith@example.com,87.0
32,Teresa Rush,Agent,(552)589-3891x190,teresa.rush@example.com,113.0
33,Carolyn Webster,Agent,3134875927,carolyn.webster@example.com,75.0
34,Vicki Coleman,Sales,236.315.1718x27548,vicki.coleman@example.com,56.0
35,Brian Campbell,Agent,+1-447-238-6463x175,brian.campbell@example.com,46.0
36,Mrs. Ashley Kim DDS,Support,712-566-9121,mrs..ashley.kim.dds@example.com,27.0
37,Kurt Ewing,Support,736-974-9946,kurt.ewing@example.com,134.0
38,Tiffany Archer,Manager,342.971.1477x32010,tiffany.archer@example.com,44.0
39,Valerie Reyes,Support,+1-952-649-9118x77347,valerie.reyes@example.com,52.0
40,Rhonda Fernandez,Agent,9062167567,rhonda.fernandez@example.com,120.0
41,Justin Dalton,Project Manager,927-962-4671x9788,justin.dalton@example.com,147.0
42,Brooke Brown,Agent,479-769-5450x090,brooke.brown@example.com,149.0
43,Patrick Johnson,Manager,+1-656-316-5565x0333,patrick.johnson@example.com,22.0
44,Ana Torres,Manager,220-785-0769x86407,ana.torres@example.com,72.0
45,James Armstrong,Manager,913.357.8529x4563,james.armstrong@example.com,89.0
46,Kimberly Mitchell,Sales,7496639191,kimberly.mitchell@example.com,74.0
47,Robert Alvarez,Project Manager,551.848.4685,robert.alvarez@example.com,178.0
48,Mario Chavez,Agent,001-282-508-2973x74896,mario.chavez@example.com,29.0
49,Charles Hernandez,Sales,+1-846-565-1364x42493,charles.hernandez@example.com,8.0
50,Corey Sanchez,Agent,677-486-6032x4204,corey.sanchez@example.com,138.0
51,Amanda Sharp,Manager,3018594165,amanda.sharp@example.com,175.0
52,Misty Taylor,Account,398-518-9847,misty.taylor@example.com,160.0
53,Patricia Edwards,Sales,001-663-963-2123,patricia.edwards@example.com,23.0
54,Scott Brown,Agent,+1-451-758-6734,scott.brown@example.com,143.0
55,Jacob Parker,Account,+1-990-803-4864x5183,jacob.parker@example.com,117.0
56,Tyler Pennington,Agent,341-934-3275x604,tyler.pennington@example.com,109.0
57,Jason Randall,Sales,001-961-224-8156x985,jason.randall@example.com,44.0
58,Margaret White,Account,420.863.4591x123,margaret.white@example.com,61.0
59,Emma Mendoza,Sales,001-824-529-5431x6526,emma.mendoza@example.com,26.0
60,Alexander Hansen,Account,+1-631-473-4206x969,alexander.hansen@example.com,99.0
61,Jacob Valentine,Project Manager,508-667-7133,jacob.valentine@example.com,15.0
62,Johnny Anderson,Support,293.643.6262,johnny.anderson@example.com,158.0
63,Cynthia Hayes,Manager,859.571.0725,cynthia.hayes@example.com,10.0
64,Michelle Fitzgerald,Project Manager,211-280-0537x599,michelle.fitzgerald@example.com,35.0
65,Manuel Turner,Sales,(452)380-9242x8757,manuel.turner@example.com,74.0
66,Joseph Thomas,Sales,650-627-4564,joseph.thomas@example.com,60.0
67,Jessica Martin,Account,001-672-487-0320x3207,jessica.martin@example.com,139.0
68,Jessica Carney,Project Manager,507.658.7771x2151,jessica.carney@example.com,152.0
69,Christopher Hicks,Manager,999-339-0892x613,christopher.hicks@example.com,155.0
70,Allison Maldonado,Account,+1-216-759-1520x17774,allison.maldonado@example.com,130.0
71,Mary Tapia,Account,692-430-4501x89616,mary.tapia@example.com,112.0
72,Randy Ross,Project Manager,9328664214,randy.ross@example.com,73.0
73,Tammy Mckee,Agent,+1-825-315-8377x674,tammy.mckee@example.com,106.0
74,Rita Austin,Project Manager,(961)808-5732x78814,rita.austin@example.com,142.0
75,Robert Evans,Project Manager,(343)286-4908,robert.evans@example.com,12.0
76,Kayla Gutierrez,Manager,494.854.9180x172,kayla.gutierrez@example.com,22.0
77,Jason Bush,Manager,897-279-4523x21941,jason.bush@example.com,157.0
78,Bruce Jackson,Support,476.297.4995x6412,bruce.jackson@example.com,64.0
79,Robert Horton,Manager,303.672.3683,robert.horton@example.com,17.0
80,Brittany Henderson,Manager,522-577-7079,brittany.henderson@example.com,58.0
81,Ronald Myers,Sales,901-566-7998x40767,ronald.myers@example.com,138.0
82,Kelsey Henderson,Sales,681-546-7179x57602,kelsey.henderson@example.com,37.0
83,Jeffrey Romero,Account,001-959-472-4665,jeffrey.romero@example.com,101.0
84,Diane Curry,Project Manager,+1-272-223-2971x67433,diane.curry@example.com,173.0
85,Dean Rhodes,Agent,(380)515-6193,dean.rhodes@example.com,117.0
86,Dr. Richard Hammond,Manager,001-384-228-9107x71199,dr..richard.hammond@example.com,5.0
87,Carol Wilson,Support,752.747.8712,carol.wilson@example.com,70.0
88,Barbara Harris,Support,(403)875-4821x45653,barbara.harris@example.com,69.0
89,Brenda Patterson,Sales,(478)850-7208x11556,brenda.patterson@example.com,113.0
90,Peter Keller,Manager,+1-629-408-4668x4550,peter.keller@example.com,172.0
91,Jill Harris,Support,+1-299-775-6341,jill.harris@example.com,64.0
92,Nathan Hobbs,Support,684.531.8848x52008,nathan.hobbs@example.com,147.0
93,Elizabeth Henderson,Account,910.754.8510x17490,elizabeth.henderson@example.com,47.0
94,Dr. Virginia Cunningham,Project Manager,+1-789-535-4492x6831,dr..virginia.cunningham@example.com,26.0
95,Heather Garcia,Support,001-766-811-0627x371,heather.garcia@example.com,54.0
96,Kelly Foster,Agent,997-467-7622x827,kelly.foster@example.com,35.0
97,Kayla Rice,Sales,001-337-770-2851x961,kayla.rice@example.com,33.0
98,Amanda Hernandez,Manager,(645)644-7022x960,amanda.hernandez@example.com,12.0
99,Robert Burns,Project Manager,985-710-6794,robert.burns@example.com,75.0
100,Karen Cortez,Agent,+1-822-887-7725x199,karen.cortez@example.com,142.0
101,James Weaver,Sales,+1-274-512-0948x18139,james.weaver@example.com,109.0
102,Kathryn Smith,Support,+1-282-904-3397x18956,kathryn.smith@example.com,116.0
103,Allison Kim,Support,(608)356-4111x82422,allison.kim@example.com,74.0
104,Tristan Gregory,Agent,7954200461,tristan.gregory@example.com,100.0
105,Frederick Bennett,Project Manager,803-339-9378,frederick.bennett@example.com,125.0
106,Fernando Tran,Account,370-563-0489,fernando.tran@example.com,123.0
107,Marisa Martinez,Project Manager,001-467-518-3258,marisa.martinez@example.com,17.0
108,Jessica Buck,Account,600.879.4200x749,jessica.buck@example.com,7.0
109,Dr. Christy Pittman MD,Project Manager,(689)814-1612,dr..christy.pittman.md@example.com,79.0
110,Jonathan Pham,Sales,+1-254-974-3553x79502,jonathan.pham@example.com,61.0
111,Adam Thompson,Manager,+1-376-781-1807,adam.thompson@example.com,20.0
112,Jamie Burke,Project Manager,(520)317-5370x3045,jamie.burke@example.com,169.0
113,Lori Stokes,Sales,237.550.4793,lori.stokes@example.com,147.0
114,Miss Ashley Ramirez,Agent,672.583.9992x19212,miss.ashley.ramirez@example.com,169.0
115,Monica Hill,Sales,+1-308-994-8706x05664,monica.hill@example.com,144.0
