customer_id,first_name,last_name,gender,age,phone,email,avg_income,customer_type,segment_id,employee_id
1,Jennifer,Combs,Male,27,786-884-1962x33260,gabriel67@example.com,25109.15,Renter,19,210.0
2,Sarah,Clark,Female,49,330.966.2931x518,kenneththomas@example.com,180997.82,Renter,23,157.0
3,Madeline,Underwood,Female,50,001-546-498-9062,ohardy@example.net,103524.21,Buyer,34,245.0
4,Thomas,Cole,Other,48,990.222.3790x06548,lisa79@example.com,166159.21,Investor,29,367.0
5,Jacqueline,Jones,Male,71,267.955.3981x889,stevenjones@example.net,67409.67,Buyer,5,151.0
6,Calvin,Snyder,Other,26,8895458962,andrea76@example.org,179627.03,Renter,2,173.0
7,Alicia,Callahan,Male,53,4763123961,chenmatthew@example.org,80894.33,Renter,60,377.0
8,Amy,Aguirre,Female,55,229-988-6182,sextonpaul@example.net,7113.34,Prospect,36,79.0
9,Benjamin,Wilson,Female,60,592.537.2982x689,rebecca86@example.net,181549.49,Renter,30,116.0
10,Kevin,Barrera,Other,47,8355067578,matthewvaughn@example.org,22800.9,Prospect,12,325.0
11,Lauren,Ramos,Other,32,001-412-331-5550x5705,rwilliamson@example.net,67266.16,Prospect,2,375.0
12,Jeffrey,Hill,Female,20,640-945-8831x141,curtisjacqueline@example.org,190262.08,Renter,38,217.0
13,Sharon,Levine,Other,71,903-968-7156x89109,jmedina@example.org,190368.39,Buyer,14,140.0
14,Danielle,Turner,Other,31,001-845-668-4467x94036,jonesjeffery@example.org,116820.39,Investor,37,50.0
15,Christie,Castillo,Female,27,001-578-331-5975x72927,xnixon@example.net,128208.26,Investor,21,98.0
16,Jared,Johnson,Other,60,001-415-685-4233,bennettvictoria@example.com,92446.88,Investor,43,248.0
17,Casey,Reed,Other,45,001-948-639-6607x3446,hthompson@example.com,62176.1,Buyer,39,196.0
18,Julia,Armstrong,Female,59,+1-941-274-9161,alexander22@example.org,69089.59,Renter,23,178.0
19,William,Davis,Other,71,001-881-241-3447,lisa37@example.com,136141.1,Investor,53,342.0
20,Keith,Fitzgerald,Other,25,(492)886-4330,tanya09@example.net,151713.03,Renter,59,312.0
21,Debbie,Cruz,Male,39,(818)836-6771,egraham@example.org,159357.91,Buyer,21,58.0
22,Donald,Edwards,Other,29,(234)320-2223x4998,jessicastanton@example.net,158975.54,Prospect,12,189.0
23,Jeffrey,Fisher,Male,56,(890)317-7915x244,kelly92@example.org,22785.19,Prospect,27,303.0
24,John,Garrison,Female,60,274-365-6426,wsanchez@example.org,101411.96,Renter,28,93.0
25,Noah,Jones,Female,38,001-956-995-5922,qrosales@example.org,16223.96,Renter,36,83.0
26,Kenneth,Williams,Female,59,685.602.5513,nancy67@example.org,112158.13,Buyer,12,159.0
27,Henry,Lozano,Male,51,790.647.3314,ssimon@example.org,91098.45,Renter,56,181.0
28,Nathaniel,Olson,Other,52,001-932-751-1497,bryangolden@example.org,178102.32,Prospect,13,194.0
29,Keith,Aguilar,Female,46,237-276-6183x0858,sharpamanda@example.org,73428.43,Prospect,27,348.0
30,Christopher,Harris,Male,56,851-414-3678,landryalexis@example.net,27828.07,Buyer,32,83.0
31,Chris,Bryant,Male,38,9962856425,pmay@example.org,32883.38,Buyer,51,387.0
32,Douglas,Patterson,Other,38,001-833-215-4230,lopezbrian@example.net,153494.57,Renter,18,113.0
33,Ryan,Rogers,Other,67,+1-850-952-2411x4206,garciacharles@example.com,125552.52,Prospect,50,232.0
34,Joanna,Knight,Male,56,4164633822,benjamin53@example.net,24718.92,Buyer,36,259.0
35,David,Ortega,Other,72,3565201901,amanda33@example.net,21400.83,Investor,18,394.0
36,Craig,Perez,Male,68,(652)786-1323,vshelton@example.org,141688.98,Prospect,35,385.0
37,Jay,Lopez,Female,26,(544)697-6024x9866,julieblair@example.net,19188.79,Renter,35,109.0
38,Stephanie,Wright,Female,36,001-377-734-9852x97356,wendyholden@example.com,165262.71,Investor,20,14.0
39,Nathan,Cook,Female,75,847-862-5380,daniel75@example.org,142717.23,Buyer,56,42.0
40,John,Sweeney,Male,71,001-852-447-4665x353,julie24@example.org,20863.01,Investor,50,119.0
41,Natalie,Mann,Other,60,(579)724-1571x2763,jason46@example.net,21543.35,Prospect,56,361.0
42,Mark,Curry,Male,70,990.561.6824,perrymichael@example.org,197394.72,Renter,11,313.0
43,Emily,Porter,Male,56,968-537-1030,danderson@example.com,77982.81,Investor,53,103.0
44,Hayley,Hampton,Other,54,001-501-348-9678x08264,tiffanywerner@example.com,77275.22,Renter,35,141.0
45,Kristen,Vargas,Female,38,576-525-4292x6456,stevenskaitlin@example.net,163495.92,Investor,21,358.0
46,Michelle,Chapman,Other,72,903-369-4811x2664,rhayes@example.org,189713.47,Buyer,55,261.0
47,Robert,Small,Female,23,335.439.1016,kristen90@example.org,197270.21,Investor,9,382.0
48,Richard,Higgins,Male,64,001-694-690-1333,thomaswade@example.com,151908.75,Renter,56,333.0
49,Diane,Harris,Other,40,+1-548-214-0984x10167,mcknightregina@example.org,78370.62,Renter,16,72.0
50,Dale,Smith,Female,51,899-310-0420x2886,cmoon@example.net,21282.64,Renter,49,344.0
51,Tammie,Walter,Female,60,+1-603-442-1348x548,clarkjames@example.com,156543.65,Prospect,37,321.0
52,Bryan,Woods,Male,60,+1-917-391-3860x15711,nataliepatton@example.org,113888.83,Buyer,25,229.0
53,Brandi,Parker,Other,37,6243702881,andersonamanda@example.net,87723.29,Investor,26,261.0
54,Kerry,Taylor,Female,57,319.536.7857x6463,johnsondana@example.com,181739.11,Buyer,30,247.0
55,Christina,Rodriguez,Other,25,(319)742-3215x4013,martinjenkins@example.net,26683.51,Prospect,56,394.0
56,Ryan,Stanley,Other,42,(216)484-5525x2741,justin17@example.net,101061.9,Buyer,41,338.0
57,Amy,Bush,Female,33,288-256-6948x993,daniel56@example.com,7213.96,Prospect,51,271.0
58,Michael,Alvarado,Female,37,(835)458-4227x1726,richard04@example.com,96388.83,Investor,53,106.0
59,Morgan,Alvarez,Female,55,+1-901-344-1306x86240,smithdanielle@example.com,15979.14,Renter,54,143.0
60,Robert,Greene,Female,63,+1-341-772-8207x62381,donaldthomas@example.org,28169.49,Buyer,37,246.0
61,Henry,Hawkins,Other,70,608-247-5283x5999,nelsonbenjamin@example.net,27917.62,Prospect,3,48.0
62,Joseph,Jacobs,Male,48,535-711-3505,kpennington@example.net,131596.01,Prospect,2,61.0
63,Alyssa,Anderson,Male,64,9645157809,andersonamber@example.org,150478.75,Renter,1,217.0
64,Andrew,Evans,Female,30,+1-645-934-1952x814,smarsh@example.net,118756.91,Investor,57,330.0
65,Nicole,Anderson,Female,36,5217889306,jzavala@example.net,192623.65,Buyer,6,333.0
66,Jennifer,Johnson,Other,30,978.691.2139,lynnpowell@example.net,78099.76,Buyer,24,338.0
67,Alexander,Olsen,Female,66,+1-655-475-9940,flowerscarrie@example.com,60713.86,Renter,26,318.0
68,Ashley,Williams,Male,65,852-989-8606x1065,jesusavila@example.com,174376.83,Buyer,28,333.0
69,Scott,Williams,Female,24,(252)476-1368x1498,jeffrey08@example.com,48601.19,Renter,1,107.0
70,James,Sharp,Other,63,+1-292-696-4447x725,johntaylor@example.com,192828.4,Prospect,38,113.0
71,Grant,Turner,Other,41,7045172415,uburke@example.net,7370.12,Buyer,1,2.0
72,Matthew,Ellis,Other,28,001-606-427-9602,shannon33@example.org,194126.37,Prospect,56,214.0
73,Diane,Oliver,Female,25,694-252-3158x28630,cassielong@example.net,13416.18,Buyer,5,115.0
74,Christina,Davis,Female,39,(617)342-9220,xmarshall@example.org,178772.91,Renter,7,158.0
75,Rebecca,Howard,Male,61,892.566.9370,loriwalton@example.org,107901.72,Renter,25,394.0
76,David,Hall,Other,20,(280)848-5022,powersbrandon@example.net,198628.14,Renter,5,269.0
77,John,Sanchez,Other,33,(493)779-7190x000,jgarcia@example.org,19390.33,Renter,29,177.0
78,Meagan,Bennett,Other,63,001-447-518-5594x079,mitchellkimberly@example.net,113001.59,Prospect,59,208.0
79,Linda,Robinson,Male,26,001-631-567-7814x5647,vsmith@example.org,194013.99,Renter,56,109.0
80,Christina,Landry,Other,66,(739)411-7766x650,wwong@example.com,107004.08,Prospect,49,61.0
81,Carl,Johnson,Female,70,001-328-215-7806,davidjones@example.org,127732.73,Renter,23,217.0
82,Peter,Garrett,Other,25,+1-770-467-6353x22371,meltonnicholas@example.net,140670.99,Renter,16,139.0
83,Zachary,Mitchell,Other,66,256.537.1142x94300,xgreer@example.org,93635.51,Investor,36,305.0
84,Ashley,Medina,Male,74,001-823-513-2465x986,tarafischer@example.net,127373.83,Investor,50,351.0
85,Jennifer,Garcia,Other,52,+1-383-676-5915x38201,olsenlinda@example.org,118941.29,Renter,14,263.0
86,Isabella,Long,Female,61,(667)735-1272,jeffrey37@example.com,180725.81,Buyer,48,198.0
87,Emily,Edwards,Female,44,001-669-676-4878x49622,maria04@example.com,13862.04,Buyer,51,120.0
88,Colleen,Edwards,Other,58,(992)896-5685x12062,owhite@example.net,59787.82,Buyer,16,253.0
89,Luis,Johnson,Female,40,793.244.2129x146,dylangonzalez@example.com,190330.24,Renter,34,4.0
90,Steven,Riggs,Female,43,001-204-957-9725x184,harrisdebra@example.net,178601.44,Renter,25,289.0
91,Dennis,Carter,Male,21,+1-723-337-2094,xfreeman@example.net,93853.07,Buyer,49,239.0
92,Sean,Foster,Male,22,(632)686-3011x22008,paulking@example.net,125925.86,Buyer,1,132.0
93,James,Haney,Other,38,867.996.0828,terrypatrick@example.com,59089.33,Prospect,51,201.0
94,Danielle,King,Female,25,469-620-8564x9013,kathryn19@example.org,41683.63,Renter,28,357.0
95,Neil,Summers,Female,25,2112546175,stephaniegross@example.net,95421.19,Renter,18,40.0
96,Danielle,Chandler,Other,40,3447104043,gcruz@example.com,73903.68,Prospect,52,77.0
97,Charles,Lewis,Other,63,538-214-8374x75580,garciarichard@example.com,118812.94,Buyer,38,322.0
98,Patrick,West,Female,66,578.940.1902x7169,grahamdaniel@example.net,20158.25,Renter,20,355.0
99,Sarah,Coleman,Male,47,461.819.9767x59833,alvarezbobby@example.com,195006.99,Buyer,4,123.0
100,Michelle,Cook,Other,23,+1-735-834-5819,scott28@example.com,197311.1,Investor,30,311.0
101,John,Crane,Other,67,499.382.4266,swhitehead@example.com,141141.53,Renter,43,377.0
102,Matthew,Williams,Other,28,+1-758-546-6879x30302,rachelmurray@example.com,109538.79,Buyer,8,4.0
103,Karen,Jordan,Female,53,+1-434-751-5025,ronald30@example.net,65357.89,Investor,11,252.0
104,Tanner,Lee,Male,67,4899720738,vharrison@example.org,163690.03,Investor,11,188.0
105,David,Wolf,Male,41,325-427-8630x9007,williamsdonald@example.com,138522.58,Prospect,47,58.0
106,Donald,Phillips,Male,36,973-305-7771x9619,ndiaz@example.com,36710.3,Buyer,18,266.0
